Formula,temperature(K),seebeck_coefficient(μV/K),electrical_conductivity(S/m),thermal_conductivity(W/mK),power_factor(W/mK2),ZT,reference
Sr0.21Yb0.03Co4Sb12.12,800.0,-177.0,180000.0,3.67,0.0056392199999999995,1.229257765667575,10.1007/s00339-010-5711-3
Sr0.21Yb0.03Co4Sb12.12,850.0,-183.0,173636.0,3.7,0.005814896004,1.3358544874054052,10.1007/s00339-010-5711-3
Yb13CaMnSb11,373.0,61.94,43100.0,0.789,0.00016535589115999997,0.0687,10.1007/s11664-010-1149-9
Yb13CaMnSb11,573.0,109.0,32400.0,0.897,0.0003849444,0.242,10.1007/s11664-010-1149-9
Yb13CaMnSb11,773.0,153.83,25000.0,0.8773,0.0005915917225000001,0.468,10.1007/s11664-010-1149-9
Yb13CaMnSb11,973.0,176.7,20300.0,0.83,0.0006338246669999999,0.712,10.1007/s11664-010-1149-9
Yb13CaMnSb11,1163.0,194.1,18482.0,0.88,0.0006963058384199999,0.8974,10.1007/s11664-010-1149-9
Yb14MnSb11,325.0,53.0,47966.0,1.0,0.000134736494,0.043789360549999996,10.1007/s11664-010-1149-9
Yb14MnSb11,525.0,84.0,35500.0,1.06,0.000250488,0.12406245283018867,10.1007/s11664-010-1149-9
Yb14MnSb11,725.0,118.0,27860.0,1.025,0.00038792264,0.269,10.1007/s11664-010-1149-9
Yb14MnSb11,925.0,151.0,23069.0,0.95,0.0005259962689999999,0.5121542619210526,10.1007/s11664-010-1149-9
Yb14MnSb11,1125.0,178.0,19632.0,0.94,0.000622020288,0.7444391744680852,10.1007/s11664-010-1149-9
FeVSb,400.0,-210.0,104000.0,8.26,0.0045864,0.22210169491525425,10.1007/s11664-016-4804-y
FeVSb,700.0,-238.0,44000.0,6.3,0.002492336,0.266,10.1007/s11664-016-4804-y
FeVSb,500.0,-232.0,72000.0,7.22,0.003875328,0.2683745152354571,10.1007/s11664-016-4804-y
FeVSb,600.0,-235.0,52100.0,6.5,0.0028772224999999998,0.277,10.1007/s11664-016-4804-y
Ca3Co3.7Ti0.3O9,300.0,178.2,4300.0,2.3,0.00013654753199999998,0.01781054765217391,10.1016/j.jallcom.2010.04.055
Ca3Co3.7Ti0.3O9,500.0,217.0,4580.0,2.172,0.00021566762,0.04964724217311233,10.1016/j.jallcom.2010.04.055
Ca3Co3.7Ti0.3O9,700.0,248.0,5226.0,2.012,0.000321419904,0.11182601033797217,10.1016/j.jallcom.2010.04.055
Ca3Co3.7Ti0.3O9,900.0,276.3,5920.0,1.89,0.0004519428048,0.21521085942857143,10.1016/j.jallcom.2010.04.055
Ca3Co3.7Ti0.3O9,1000.0,281.0,6050.0,1.79,0.00047771405,0.28,10.1016/j.jallcom.2010.04.055
Ca3Co3.8Ti0.2O9,300.0,149.0,4967.0,2.49,0.000110272367,0.013285827349397589,10.1016/j.jallcom.2010.04.055
Ca3Co3.8Ti0.2O9,500.0,169.0,5305.0,2.306,0.000151516105,0.03285258130962706,10.1016/j.jallcom.2010.04.055
Ca3Co3.8Ti0.2O9,700.0,203.46,6054.0,2.11,0.0002506112120664,0.08314116040117536,10.1016/j.jallcom.2010.04.055
Ca3Co3.8Ti0.2O9,900.0,224.0,6472.0,1.988,0.000324739072,0.14701467042253522,10.1016/j.jallcom.2010.04.055
Ca3Co3.8Ti0.2O9,1000.0,239.4,6508.0,1.918,0.00037298883888,0.19446759065693434,10.1016/j.jallcom.2010.04.055
Ca3Co3.9Ti0.1O9,300.0,131.0,5623.0,2.59,9.6496303e-05,0.011177177953667954,10.1016/j.jallcom.2010.04.055
